,ID,ID2,NAMAD,DESC,UN1,VOLUME,UN2,UN3,CAT,UN4,TYPE
0,120708739675404,IRO2X13T8061,جكانه806,آتي ش كانه هاي فلزي-1398/06/13,125230,0,1,37,13,1200,263
1,143187001116603,IRO6MELZ96C1,تملي612,تسهيلات مسكن بانك ملي-اسفند96,61042,0,1,42,59,5870,307
2,318005355896147,IRO7PFSP0001,فسا,پتروشيمي فسا,123018,15287944,1,1064,44,3486000000,309
3,350097973599097,IRO6MSKZ9751,تسه9705,امتياز تسهيلات مسكن مرداد97,122924,1073,1,84,59,1958851,307
4,408934423224097,IRO1FRVR0001,فرآور,فرآوري‌موادمعدني‌ايران‌,122948,584964,48000,790,27,120000000,300
5,523316700238094,IRO9MKBT0301,ضمخا7012,اختيارخ اخابر-3200-1398/07/10,61108,0,1,8,64,1000,311
6,611986653700161,IRO3SBZZ0001,سبزوا,سيمان لار سبزوار,123000,4438049,1,763,53,599425579,303
7,778253364357513,IRO1BMLT0001,وبملت,بانك ملت,123000,100234796,3237294,3262,57,50000000000,300
8,793710053482057,IRO7PYAP0001,لپيام,گسترش صنايع پيام,61047,0,1,430,32,180000000,309
9,831325835570803,IRO7CNAP0001,ثنام,س ساختماني ب نام آوران مهندسي,123000,5758168,1,691,70,500000000,309
10,878562999947395,IRO9MKBT0401,ضمخا1007,اختيارخ اخابر-3200-1398/10/11,61108,0,1,10,64,1000,311
11,881618880255065,IRB3SS2499C1,شستا994,اجاره تامين اجتماعي-نوين991226,61026,0,1,154,69,3000000,306
12,1072964149653157,IRB5METR98C1,مترو9812,مشاركت شهرداري تهران-3ماهه18%,61049,0,1,145,45,3000000,301
13,1191179798280970,IRO9MKBT0421,ضمخا1009,اختيارخ اخابر-3600-1398/10/11,61108,0,1,6,64,1000,311
14,1200391996585610,IRO6MELZ97A1,تملي710,تسهيلات مسكن ب. ملي-دي97,61042,0,1,29,59,15358,307
15,1358190916156744,IRO1TAZB0001,وآذر,سرمايه‌گذاري‌توسعه‌آذربايجان‌,124103,170128,90009,442,70,100000000,300
16,1625149423498289,IRO3SMBZ0001,حسينا,توسعه خدمات دريايي وبندري سينا,122952,2559886,1,717,60,500000000,303
17,1723099959084685,IRR1TKIN0101,رتكوح,ح . كنترل‌خوردگي‌تكين‌كو,122907,2022446,1,527,74,110000000,400
18,1745829084228393,IRB5R01099B1,رايان911,مشاركت رايان سايپا-3ماهه18%,61049,0,1,65,65,1000000,301
19,1806692551822666,IRB3AL010251,البرز02,اجاره ريلي البرزنيرو14020514,121336,967,1,115,69,1050000,306
20,2147129961448440,IRO6MELZ97C1,تملي712,تسهيلات مسكن ب. ملي-اسفند97,61042,0,1,40,59,14060,307
21,2254054929817435,IRO1KDPS0001,غدام,خوراك‌  دام‌ پارس‌,122227,130667,24000,520,42,60000000,300
22,2318736941376687,IRO7SDRP0001,خصدرا,صنعتي‌ دريايي‌ ايران‌,123029,9175711,1,2693,45,1500000000,309
23,2328862017676109,IRO1SPAH0001,وسپه,سرمايه‌گذاري‌ سپه‌,122959,23146925,2676400,638,56,6691000000,300
24,2434703913394836,IRO1DMOR0001,غدشت,دشت‌ مرغاب‌,122837,35011,21381,677,42,53453000,300
25,2589887561569709,IRO1ZMYD0001,خزاميا,زامياد,122958,163967912,2211957,2578,34,5529892000,300
26,2679792704302466,IRO9FOLD4111,ضفلا2022,اختيارخ فولاد-4000-1398/02/31,120459,2500,1,40,27,1000,311
27,2849875720026255,IRB6SP0701C1,صايپا112,صكوك مرابحه سايپا112-3ماهه 16%,61050,0,1,23,34,2500000,208
